Annual Income($),Current Loan Amount($),Loan/Income Ratio,Monthly_debt/Income ratio,Credit/Income Ratio,N_incomes,Weight in portfolio(%)
10000.0,2500.0,0.25,0.18,1.0,4,0.06
20000.0,5882.35,0.29,0.17,1.15,17,0.25
30000.0,10333.33,0.34,0.19,0.93,60,0.87
40000.0,12035.4,0.3,0.2,0.73,113,1.64
50000.0,14468.09,0.29,0.19,0.63,235,3.41
60000.0,16666.67,0.28,0.19,0.6,342,4.97
70000.0,20492.17,0.29,0.19,0.59,447,6.49
80000.0,22880.0,0.29,0.19,0.55,500,7.26
90000.0,25817.22,0.28,0.19,0.51,569,8.26
100000.0,27250.44,0.27,0.19,0.53,571,8.29
110000.00000000001,30126.32,0.27,0.18,0.48,475,6.9
120000.0,30875.27,0.26,0.18,0.5,457,6.64
130000.0,32500.0,0.25,0.17,0.54,424,6.16
140000.0,33372.78,0.24,0.17,0.45,338,4.91
150000.0,37988.34,0.25,0.17,0.49,343,4.98
160000.0,37509.29,0.23,0.17,0.47,269,3.91
170000.0,38136.88,0.23,0.16,0.5,263,3.82
180000.0,40765.31,0.23,0.16,0.44,196,2.85
190000.0,42293.58,0.22,0.15,0.44,218,3.17
200000.0,38250.0,0.19,0.15,0.38,120,1.74
210000.0,43252.03,0.21,0.15,0.4,123,1.79
220000.00000000003,41839.08,0.19,0.14,0.44,87,1.26
229999.99999999997,45702.48,0.2,0.14,0.41,121,1.76
240000.0,42083.33,0.17,0.15,0.48,72,1.05
250000.0,49666.67,0.2,0.16,0.44,60,0.87
260000.0,46585.37,0.18,0.14,0.38,41,0.6
270000.0,45178.57,0.17,0.15,0.48,56,0.81
280000.0,46976.74,0.17,0.13,0.41,43,0.62
290000.0,47843.14,0.16,0.11,0.35,51,0.74
300000.0,52173.91,0.17,0.14,0.4,23,0.33
310000.0,49600.0,0.16,0.14,0.37,25,0.36
320000.0,51111.11,0.16,0.14,0.54,18,0.26
330000.0,43181.82,0.13,0.14,0.49,22,0.32
340000.0,50416.67,0.15,0.12,0.32,24,0.35
350000.0,48333.33,0.14,0.11,0.26,12,0.17
360000.0,55833.33,0.16,0.18,0.72,12,0.17
370000.0,55000.0,0.15,0.15,0.27,12,0.17
380000.0,47647.06,0.13,0.16,0.52,17,0.25
390000.0,45000.0,0.12,0.17,0.3,6,0.09
400000.0,41666.67,0.1,0.11,0.36,6,0.09
409999.99999999994,42000.0,0.1,0.08,0.34,5,0.07
420000.0,66000.0,0.16,0.11,0.16,5,0.07
430000.0,48000.0,0.11,0.14,0.5,10,0.15
440000.00000000006,45000.0,0.1,0.15,0.25,4,0.06
450000.0,60000.0,0.13,0.13,0.56,2,0.03
459999.99999999994,70000.0,0.15,0.14,0.28,1,0.01
470000.0,61428.57,0.13,0.12,0.56,7,0.1
480000.0,62000.0,0.13,0.1,0.12,5,0.07
490000.00000000006,53333.33,0.11,0.11,1.54,6,0.09
500000.0,30000.0,0.06,0.08,0.02,1,0.01
520000.0,80000.0,0.15,0.24,3.21,1,0.01
530000.0,57500.0,0.11,0.13,0.14,4,0.06
540000.0,30000.0,0.06,0.04,0.04,2,0.03
560000.0,53333.33,0.1,0.1,0.24,6,0.09
570000.0,40000.0,0.07,0.08,0.18,2,0.03
580000.0,20000.0,0.03,0.06,0.1,2,0.03
590000.0,30000.0,0.05,0.07,0.06,3,0.04
600000.0,70000.0,0.12,0.14,0.18,2,0.03
610000.0,60000.0,0.1,0.08,0.26,1,0.01
630000.0,80000.0,0.13,0.08,0.4,1,0.01
650000.0,10000.0,0.02,0.06,0.0,1,0.01
670000.0,80000.0,0.12,0.11,0.13,1,0.01
680000.0,75000.0,0.11,0.08,1.03,2,0.03
700000.0,20000.0,0.03,0.05,0.04,1,0.01
720000.0,0.0,0.0,0.03,0.07,1,0.01
740000.0,60000.0,0.08,0.13,0.16,1,0.01
750000.0,80000.0,0.11,0.11,0.26,2,0.03
770000.0,60000.0,0.08,0.09,0.17,3,0.04
800000.0,30000.0,0.04,0.22,0.19,1,0.01
810000.0,60000.0,0.07,0.21,0.28,1,0.01
830000.0000000001,70000.0,0.08,0.1,0.31,1,0.01
850000.0,80000.0,0.09,0.11,0.27,1,0.01
930000.0000000001,40000.0,0.04,0.06,0.05,3,0.04
940000.0,80000.0,0.09,0.13,0.03,1,0.01
960000.0,60000.0,0.06,0.03,0.12,1,0.01
1260000.0,80000.0,0.06,0.03,0.05,1,0.01
1620000.0,30000.0,0.02,0.02,0.12,1,0.01
1780000.0,30000.0,0.02,0.01,0.0,1,0.01
